SLRs,STATEFP,COUNTYFP,TRACTCE,census_tract,SLR_ft
AL,01,097,005500,01097005500,1
AL,01,097,007300,01097007300,1
AL,01,097,006600,01097006600,1
AL,01,097,002000,01097002000,1
AL,01,097,001200,01097001200,1
AL,01,097,002200,01097002200,1
AL,01,097,003800,01097003800,1
AL,01,097,007103,01097007103,1
AL,01,097,003000,01097003000,1
AL,01,097,001800,01097001800,1
AL,01,097,001901,01097001901,1
AL,01,097,001902,01097001902,1
AL,01,097,002100,01097002100,1
AL,01,097,005702,01097005702,1
AL,01,097,005601,01097005601,1
AL,01,097,005701,01097005701,1
AL,01,097,005602,01097005602,1
AL,01,097,007204,01097007204,1
AL,01,097,007203,01097007203,1
AL,01,097,006106,01097006106,1
AL,01,003,011601,01003011601,1
AL,01,003,011202,01003011202,1
AL,01,097,990000,01097990000,1
AL,01,003,011504,01003011504,1
AL,01,003,010710,01003010710,1
AL,01,003,010707,01003010707,1
AL,01,003,011413,01003011413,1
AL,01,003,011412,01003011412,1
AL,01,003,010907,01003010907,1
AL,01,003,011410,01003011410,1
AL,01,003,011411,01003011411,1
AL,01,003,011418,01003011418,1
AL,01,003,011604,01003011604,1
AL,01,003,011415,01003011415,1
AL,01,003,011419,01003011419,1
AL,01,003,010706,01003010706,1
AL,01,003,011603,01003011603,1
AL,01,003,010708,01003010708,1
AL,01,003,011409,01003011409,1
AL,01,003,011417,01003011417,1
AL,01,003,011414,01003011414,1
AL,01,003,011416,01003011416,1
AL,01,129,044200,01129044200,1
AL,01,129,044100,01129044100,1
AL,01,097,007201,01097007201,1
AL,01,097,007400,01097007400,1
AL,01,097,000500,01097000500,1
AL,01,097,002301,01097002301,1
AL,01,097,002502,01097002502,1
AL,01,097,005300,01097005300,1
AL,01,097,006802,01097006802,1
AL,01,097,007000,01097007000,1
AL,01,097,000401,01097000401,1
AL,01,097,000402,01097000402,1
AL,01,097,000600,01097000600,1
AL,01,097,005400,01097005400,1
AL,01,003,011102,01003011102,1
AL,01,097,000901,01097000901,1
AL,01,003,010904,01003010904,1
AL,01,025,958003,01025958003,1
AL,01,003,011201,01003011201,1
AL,01,003,010800,01003010800,1
AL,01,003,011000,01003011000,1
AL,01,003,010300,01003010300,1
AL,01,003,011300,01003011300,1
AL,01,003,010704,01003010704,1
AL,01,003,010100,01003010100,1
CA_EKA,06,045,011102,06045011102,1
CA_EKA,06,023,001300,06023001300,1
CA_EKA,06,023,010504,06023010504,1
CA_EKA,06,023,010702,06023010702,1
CA_EKA,06,023,001103,06023001103,1
CA_EKA,06,023,001001,06023001001,1
CA_EKA,06,023,001002,06023001002,1
CA_EKA,06,097,154308,06097154308,1
CA_EKA,06,045,011004,06045011004,1
CA_EKA,06,045,011200,06045011200,1
CA_EKA,06,045,010400,06045010400,1
CA_EKA,06,045,010300,06045010300,1
CA_EKA,06,045,011001,06045011001,1
CA_EKA,06,015,000107,06015000107,1
CA_EKA,06,015,000202,06015000202,1
CA_EKA,06,015,000203,06015000203,1
CA_EKA,06,015,000201,06015000201,1
CA_EKA,06,015,000102,06015000102,1
CA_EKA,06,023,000500,06023000500,1
CA_EKA,06,023,000600,06023000600,1
CA_EKA,06,023,000400,06023000400,1
CA_EKA,06,023,000800,06023000800,1
CA_EKA,06,023,000900,06023000900,1
CA_EKA,06,023,010400,06023010400,1
CA_EKA,06,023,011200,06023011200,1
CA_EKA,06,023,010200,06023010200,1
CA_EKA,06,023,010800,06023010800,1
CA_EKA,06,023,010600,06023010600,1
CA_LOX,06,111,005602,06111005602,1
CA_LOX,06,079,011600,06079011600,1
CA_LOX,06,079,010701,06079010701,1
CA_LOX,06,037,577504,06037577504,1
CA_LOX,06,037,980006,06037980006,1
CA_LOX,06,037,543400,06037543400,1
CA_LOX,06,037,574500,06037574500,1
CA_LOX,06,037,670604,06037670604,1
CA_LOX,06,037,297501,06037297501,1
CA_LOX,06,083,002503,06083002503,1
CA_LOX,06,037,577604,06037577604,1
CA_LOX,06,083,001604,06083001604,1
CA_LOX,06,083,980000,06083980000,1
CA_LOX,06,079,010707,06079010707,1
CA_LOX,06,079,010403,06079010403,1
CA_LOX,06,079,011704,06079011704,1
CA_LOX,06,079,013000,06079013000,1
CA_LOX,06,111,004600,06111004600,1
CA_LOX,06,037,800504,06037800504,1
CA_LOX,06,083,980200,06083980200,1
CA_LOX,06,083,980500,06083980500,1
CA_LOX,06,079,010602,06079010602,1
CA_LOX,06,083,001706,06083001706,1
CA_LOX,06,037,980007,06037980007,1
CA_LOX,06,037,980031,06037980031,1
CA_LOX,06,037,980033,06037980033,1
CA_LOX,06,059,099511,06059099511,1
CA_LOX,06,059,099512,06059099512,1
CA_LOX,06,083,003001,06083003001,1
CA_LOX,06,079,010504,06079010504,1
CA_MTR,06,053,014301,06053014301,1
